rank,player_id,position,player_name,team,age,player_url
32,9992841,WR,George Pickens,PIT,22,https://dynastyleaguefootball.com/player/9992841/George_Pickens
33,16765,WR,Amari Cooper,CLE,29,https://dynastyleaguefootball.com/player/16765/Amari_Cooper
34,9993950,WR,Jameson Williams,DET,22,https://dynastyleaguefootball.com/player/9993950/Jameson_Williams
35,9992287,WR,Calvin Ridley,JAC,28,https://dynastyleaguefootball.com/player/9992287/Calvin_Ridley
36,9992471,WR,Diontae Johnson,PIT,27,https://dynastyleaguefootball.com/player/9992471/Diontae_Johnson
37,9992292,WR,Christian Kirk,JAC,26,https://dynastyleaguefootball.com/player/9992292/Christian_Kirk
38,16597,WR,Mike Evans,TB,29,https://dynastyleaguefootball.com/player/16597/Mike_Evans
39,9992806,WR,Rashod Bateman,BAL,23,https://dynastyleaguefootball.com/player/9992806/Rashod_Bateman
40,9900133,WR,Mike Williams,LAC,28,https://dynastyleaguefootball.com/player/9900133/Mike_Williams
41,14986,WR,DeAndre Hopkins,TEN,31,https://dynastyleaguefootball.com/player/14986/DeAndre_Hopkins
42,9992892,WR,Elijah Moore,CLE,23,https://dynastyleaguefootball.com/player/9992892/Elijah_Moore
43,15076,WR,Keenan Allen,LAC,31,https://dynastyleaguefootball.com/player/15076/Keenan_Allen
44,9992282,WR,Courtland Sutton,DEN,27,https://dynastyleaguefootball.com/player/9992282/Courtland_Sutton
45,9900188,WR,JuJu Smith-Schuster,NE,26,https://dynastyleaguefootball.com/player/9900188/JuJu_Smith-Schuster
46,16830,WR,Tyler Lockett,SEA,30,https://dynastyleaguefootball.com/player/16830/Tyler_Lockett
47,9993250,WR,Gabriel Davis,BUF,24,https://dynastyleaguefootball.com/player/9993250/Gabriel_Davis
48,9993967,WR,Skyy Moore,KC,22,https://dynastyleaguefootball.com/player/9993967/Skyy_Moore
49,16568,WR,Brandin Cooks,DAL,29,https://dynastyleaguefootball.com/player/16568/Brandin_Cooks
50,9993172,WR,Wan'Dale Robinson,NYG,22,https://dynastyleaguefootball.com/player/9993172/WanDale_Robinson
51,9993579,WR,Kadarius Toney,KC,24,https://dynastyleaguefootball.com/player/9993579/Kadarius_Toney
52,9993566,WR,Marvin Mims,DEN,21,https://dynastyleaguefootball.com/player/9993566/Marvin_Mims
53,9993464,WR,Darnell Mooney,CHI,25,https://dynastyleaguefootball.com/player/9993464/Darnell_Mooney
