rank,player_id,position,player_name,team,age,player_url
59,9993231,RB,Isaiah Spiller,LAC,21,https://dynastyleaguefootball.com/player/9993231/Isaiah_Spiller
60,9992804,RB,Chuba Hubbard,CAR,24,https://dynastyleaguefootball.com/player/9992804/Chuba_Hubbard
61,9992799,RB,Gus Edwards,BAL,28,https://dynastyleaguefootball.com/player/9992799/Gus_Edwards
62,9993301,RB,Zonovan Knight,NYJ,22,https://dynastyleaguefootball.com/player/9993301/Zonovan_Knight
63,9900442,RB,Kareem Hunt,FA,27,https://dynastyleaguefootball.com/player/9900442/Kareem_Hunt
64,9993970,RB,Pierre Strong,NE,24,https://dynastyleaguefootball.com/player/9993970/Pierre_Strong
65,9992235,RB,Ty Chandler,MIN,25,https://dynastyleaguefootball.com/player/9992235/Ty_Chandler
66,17217,RB,Raheem Mostert,MIA,31,https://dynastyleaguefootball.com/player/17217/Raheem_Mostert
67,9993368,RB,James Robinson,NYG,24,https://dynastyleaguefootball.com/player/9993368/James_Robinson
68,15150,RB,Cordarrelle Patterson,ATL,32,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson
69,9900092,RB,Leonard Fournette,FA,28,https://dynastyleaguefootball.com/player/9900092/Leonard_Fournette
70,9993281,RB,Zach Evans,LAR,22,https://dynastyleaguefootball.com/player/9993281/Zach_Evans
71,9994003,RB,Israel Abanikanda,NYJ,20,https://dynastyleaguefootball.com/player/9994003/Israel_Abanikanda
72,16510,RB,Jerick McKinnon,KC,31,https://dynastyleaguefootball.com/player/16510/Jerick_McKinnon
73,9993772,RB,Deuce Vaughn,DAL,21,https://dynastyleaguefootball.com/player/9993772/Deuce_Vaughn
74,9992515,RB,Keaontay Ingram,ARI,23,https://dynastyleaguefootball.com/player/9992515/Keaontay_Ingram
75,9992788,RB,Joshua Kelley,LAC,25,https://dynastyleaguefootball.com/player/9992788/Joshua_Kelley
76,9992437,RB,Chase Edmonds,TB,27,https://dynastyleaguefootball.com/player/9992437/Chase_Edmonds
77,9993306,RB,Tyrion Davis-Price,SF,22,https://dynastyleaguefootball.com/player/9993306/Tyrion_Davis-Price
78,9992409,RB,Malik Davis,DAL,24,https://dynastyleaguefootball.com/player/9992409/Malik_Davis
79,9992432,RB,Nyheim Hines,BUF,26,https://dynastyleaguefootball.com/player/9992432/Nyheim_Hines
80,9994182,RB,DeWayne McBride,MIN,22,https://dynastyleaguefootball.com/player/9994182/DeWayne_McBride
81,9993168,RB,Eric Gray,NYG,23,https://dynastyleaguefootball.com/player/9993168/Eric_Gray
82,9993174,RB,Kyren Williams,LAR,22,https://dynastyleaguefootball.com/player/9993174/Kyren_Williams
83,9992468,RB,Zack Moss,IND,25,https://dynastyleaguefootball.com/player/9992468/Zack_Moss
84,9994260,RB,Evan Hull,IND,22,https://dynastyleaguefootball.com/player/9994260/Evan_Hull
85,9993243,RB,Hassan Haskins,TEN,23,https://dynastyleaguefootball.com/player/9993243/Hassan_Haskins
86,9993529,RB,Jordan Mason,SF,24,https://dynastyleaguefootball.com/player/9993529/Jordan_Mason
87,9994402,RB,Deneric Prince,KC,23,https://dynastyleaguefootball.com/player/9994402/Deneric_Prince
88,9993175,RB,Deon Jackson,IND,24,https://dynastyleaguefootball.com/player/9993175/Deon_Jackson
89,16776,RB,Melvin Gordon,BAL,30,https://dynastyleaguefootball.com/player/16776/Melvin_Gordon
90,9993588,RB,Kevin Harris,NE,22,https://dynastyleaguefootball.com/player/9993588/Kevin_Harris
91,9993180,RB,Raheem Blackshear,CAR,25,https://dynastyleaguefootball.com/player/9993180/Raheem_Blackshear
